crop,season,year_range,production,start_date,end_date
Tur,Kharif,2014-2015,28.07,01-01-2014,31-12-2014
Tur,Kharif,2015-2016,25.61,01-01-2015,31-12-2015
Tur,Kharif,2016-2017,48.73,01-01-2016,31-12-2016
Tur,Kharif,2017-2018,42.9,01-01-2017,31-12-2017
Tur,Kharif,2018-2019,33.15,01-01-2018,31-12-2018
Tur,Kharif,2019-2020,38.92,01-01-2019,31-12-2019
Tur,Kharif,2020-2021,43.16,01-01-2020,31-12-2020
Tur,Kharif,2021-2022,42.2,01-01-2021,31-12-2021
Tur,Kharif,2022-2023,33.12,01-01-2022,31-12-2022
Tur,Kharif,2023-2024,34.17,01-01-2023,31-12-2023
Gram,Rabi,2013-2014,95.26,01-01-2013,31-12-2013
Gram,Rabi,2014-2015,73.32,01-01-2014,31-12-2014
Gram,Rabi,2015-2016,70.58,01-01-2015,31-12-2015
Gram,Rabi,2016-2017,93.78,01-01-2016,31-12-2016
Gram,Rabi,2017-2018,113.79,01-01-2017,31-12-2017
Gram,Rabi,2018-2019,99.38,01-01-2018,31-12-2018
Gram,Rabi,2019-2020,110.78,01-01-2019,31-12-2019
Gram,Rabi,2020-2021,119.11,01-01-2020,31-12-2020
Gram,Rabi,2021-2022,135.44,01-01-2021,31-12-2021
Gram,Rabi,2022-2023,122.67,01-01-2022,31-12-2022
Gram,Rabi,2023-2024,110.39,01-01-2023,31-12-2023
Urad,Kharif,2013-2014,11.49,01-01-2013,31-12-2013
Urad,Kharif,2014-2015,12.81,01-01-2014,31-12-2014
Urad,Kharif,2015-2016,12.5,01-01-2015,31-12-2015
Urad,Kharif,2016-2017,21.76,01-01-2016,31-12-2016
Urad,Kharif,2017-2018,27.51,01-01-2017,31-12-2017
Urad,Kharif,2018-2019,23.63,01-01-2018,31-12-2018
Urad,Kharif,2019-2020,13.3,01-01-2019,31-12-2019
Urad,Kharif,2020-2021,15.07,01-01-2020,31-12-2020
Urad,Kharif,2021-2022,18.65,01-01-2021,31-12-2021
Urad,Kharif,2022-2023,17.68,01-01-2022,31-12-2022
Urad,Kharif,2023-2024,16.04,01-01-2023,31-12-2023
Urad,Rabi,2013-2014,5.5,01-01-2013,31-12-2013
Urad,Rabi,2014-2015,6.79,01-01-2014,31-12-2014
Urad,Rabi,2015-2016,6.96,01-01-2015,31-12-2015
Urad,Rabi,2016-2017,6.55,01-01-2016,31-12-2016
Urad,Rabi,2017-2018,7.41,01-01-2017,31-12-2017
Urad,Rabi,2018-2019,6.97,01-01-2018,31-12-2018
Urad,Rabi,2019-2020,7.52,01-01-2019,31-12-2019
Urad,Rabi,2020-2021,7.23,01-01-2020,31-12-2020
Urad,Rabi,2021-2022,9.11,01-01-2021,31-12-2021
Urad,Rabi,2022-2023,6.33,01-01-2022,31-12-2022
Urad,Rabi,2023-2024,4.87,01-01-2023,31-12-2023
Urad,Summer,2013-2014,0,01-01-2013,31-12-2013
Urad,Summer,2014-2015,0,01-01-2014,31-12-2014
Urad,Summer,2015-2016,0,01-01-2015,31-12-2015
Urad,Summer,2016-2017,0,01-01-2016,31-12-2016
Urad,Summer,2017-2018,0,01-01-2017,31-12-2017
Urad,Summer,2018-2019,0,01-01-2018,31-12-2018
Urad,Summer,2019-2020,0,01-01-2019,31-12-2019
Urad,Summer,2020-2021,0,01-01-2020,31-12-2020
Urad,Summer,2021-2022,0,01-01-2021,31-12-2021
Urad,Summer,2022-2023,2.3,01-01-2022,31-12-2022
Urad,Summer,2023-2024,2.28,01-01-2023,31-12-2023
Moong,Kharif,2013-2014,9.14,01-01-2013,31-12-2013
Moong,Kharif,2014-2015,7.94,01-01-2014,31-12-2014
Moong,Kharif,2015-2016,10,01-01-2015,31-12-2015
Moong,Kharif,2016-2017,16.43,01-01-2016,31-12-2016
Moong,Kharif,2017-2018,14.33,01-01-2017,31-12-2017
Moong,Kharif,2018-2019,17.84,01-01-2018,31-12-2018
Moong,Kharif,2019-2020,18.26,01-01-2019,31-12-2019
Moong,Kharif,2020-2021,19.96,01-01-2020,31-12-2020
Moong,Kharif,2021-2022,14.8,01-01-2021,31-12-2021
Moong,Kharif,2022-2023,17.18,01-01-2022,31-12-2022
Moong,Kharif,2023-2024,11.54,01-01-2023,31-12-2023
Moong,Rabi,2013-2014,5.41,01-01-2013,31-12-2013
Moong,Rabi,2014-2015,5.81,01-01-2014,31-12-2014
Moong,Rabi,2015-2016,5.93,01-01-2015,31-12-2015
Moong,Rabi,2016-2017,5.22,01-01-2016,31-12-2016
Moong,Rabi,2017-2018,5.9,01-01-2017,31-12-2017
Moong,Rabi,2018-2019,6.71,01-01-2018,31-12-2018
Moong,Rabi,2019-2020,6.83,01-01-2019,31-12-2019
Moong,Rabi,2020-2021,10.89,01-01-2020,31-12-2020
Moong,Rabi,2021-2022,16.86,01-01-2021,31-12-2021
Moong,Rabi,2022-2023,1.1,01-01-2022,31-12-2022
Moong,Rabi,2023-2024,1.01,01-01-2023,31-12-2023
Moong,Summer,2013-2014,0,01-01-2013,31-12-2013
Moong,Summer,2014-2015,0,01-01-2014,31-12-2014
Moong,Summer,2015-2016,0,01-01-2015,31-12-2015
Moong,Summer,2016-2017,0,01-01-2016,31-12-2016
Moong,Summer,2017-2018,0,01-01-2017,31-12-2017
Moong,Summer,2018-2019,0,01-01-2018,31-12-2018
Moong,Summer,2019-2020,0,01-01-2019,31-12-2019
Moong,Summer,2020-2021,0,01-01-2020,31-12-2020
Moong,Summer,2021-2022,0,01-01-2021,31-12-2021
Moong,Summer,2022-2023,18.48,01-01-2022,31-12-2022
Moong,Summer,2023-2024,18.47,01-01-2023,31-12-2023
Lentil,Rabi,2013-2014,10.17,01-01-2013,31-12-2013
Lentil,Rabi,2014-2015,10.35,01-01-2014,31-12-2014
Lentil,Rabi,2015-2016,9.76,01-01-2015,31-12-2015
Lentil,Rabi,2016-2017,12.24,01-01-2016,31-12-2016
Lentil,Rabi,2017-2018,16.22,01-01-2017,31-12-2017
Lentil,Rabi,2018-2019,12.28,01-01-2018,31-12-2018
Lentil,Rabi,2019-2020,11.03,01-01-2019,31-12-2019
Lentil,Rabi,2020-2021,14.94,01-01-2020,31-12-2020
Lentil,Rabi,2021-2022,12.69,01-01-2021,31-12-2021
Lentil,Rabi,2022-2023,15.59,01-01-2022,31-12-2022
Lentil,Rabi,2023-2024,17.91,01-01-2023,31-12-2023
Other Pulses,Kharif,2013-2014,7.58,01-01-2013,31-12-2013
Other Pulses,Kharif,2014-2015,8.48,01-01-2014,31-12-2014
Other Pulses,Kharif,2015-2016,7.2,01-01-2015,31-12-2015
Other Pulses,Kharif,2016-2017,8.89,01-01-2016,31-12-2016
Other Pulses,Kharif,2017-2018,8.31,01-01-2017,31-12-2017
Other Pulses,Kharif,2018-2019,6.29,01-01-2018,31-12-2018
Other Pulses,Kharif,2019-2020,8.73,01-01-2019,31-12-2019
Other Pulses,Kharif,2020-2021,7.99,01-01-2020,31-12-2020
Other Pulses,Kharif,2021-2022,6.69,01-01-2021,31-12-2021
Other Pulses,Kharif,2022-2023,8.24,01-01-2022,31-12-2022
Other Pulses,Kharif,2023-2024,7.99,01-01-2023,31-12-2023
Other Pulses,Rabi,2013-2014,16.26,01-01-2013,31-12-2013
Other Pulses,Rabi,2014-2015,17.95,01-01-2014,31-12-2014
Other Pulses,Rabi,2015-2016,14.7,01-01-2015,31-12-2015
Other Pulses,Rabi,2016-2017,17.68,01-01-2016,31-12-2016
Other Pulses,Rabi,2017-2018,17.78,01-01-2017,31-12-2017
Other Pulses,Rabi,2018-2019,14.5,01-01-2018,31-12-2018
Other Pulses,Rabi,2019-2020,14.89,01-01-2019,31-12-2019
Other Pulses,Rabi,2020-2021,16.28,01-01-2020,31-12-2020
Other Pulses,Rabi,2021-2022,16.58,01-01-2021,31-12-2021
Other Pulses,Rabi,2022-2023,17.9,01-01-2022,31-12-2022
Other Pulses,Rabi,2023-2024,17.78,01-01-2023,31-12-2023
Groundnut,Kharif,2013-2014,80.58,01-01-2013,31-12-2013
Groundnut,Kharif,2014-2015,59.3,01-01-2014,31-12-2014
Groundnut,Kharif,2015-2016,53.68,01-01-2015,31-12-2015
Groundnut,Kharif,2016-2017,60.48,01-01-2016,31-12-2016
Groundnut,Kharif,2017-2018,75.95,01-01-2017,31-12-2017
Groundnut,Kharif,2018-2019,53.87,01-01-2018,31-12-2018
Groundnut,Kharif,2019-2020,83.89,01-01-2019,31-12-2019
Groundnut,Kharif,2020-2021,85.28,01-01-2020,31-12-2020
Groundnut,Kharif,2021-2022,84.34,01-01-2021,31-12-2021
Groundnut,Kharif,2022-2023,85.62,01-01-2022,31-12-2022
Groundnut,Kharif,2023-2024,86.6,01-01-2023,31-12-2023
Groundnut,Rabi,2013-2014,16.56,01-01-2013,31-12-2013
Groundnut,Rabi,2014-2015,14.71,01-01-2014,31-12-2014
Groundnut,Rabi,2015-2016,13.66,01-01-2015,31-12-2015
